timestamp,temperature_f,humidity
2026-08-19T18:59:03Z,78.08,75.4
2026-08-19T19:11:38Z,78.08,75.4
2026-08-19T19:24:17Z,78.08,75.4
2026-08-19T19:37:46Z,78.08,75.4
2026-08-19T19:50:57Z,78.08,75.4
2026-08-19T20:04:15Z,78.08,75.4
2026-08-19T20:22:28Z,78.08,75.4
2026-08-19T20:40:24Z,78.08,75.4
2026-08-19T20:52:52Z,78.08,75.4
2026-08-19T21:05:46Z,78.08,75.4
2026-08-19T21:22:26Z,78.08,75.4
2026-08-19T21:38:16Z,78.08,75.4
2026-08-19T21:51:35Z,78.08,75.4
2026-08-19T22:04:28Z,78.08,75.4
2026-08-19T22:22:18Z,78.08,75.4
2026-08-19T22:38:32Z,78.08,75.4
2026-08-19T22:51:33Z,78.08,75.4
2026-08-19T23:04:35Z,78.08,75.4
2026-08-19T23:22:03Z,78.08,75.4
2026-08-19T23:36:46Z,78.08,75.4
2026-08-19T23:50:03Z,78.08,75.4
2026-08-20T00:05:31Z,78.08,75.4
2026-08-20T00:24:37Z,78.08,75.4
2026-08-20T00:45:44Z,78.08,75.4
2026-08-20T01:29:01Z,78.08,75.4
